"Code","Full Title","Owning Faculty","Subject","Qual Type","Level","UCO Status","Points","Accreditation","UCO Webpage Status","Programme Coordinator","Launch","Active?","CMS","First Cohort Completion","Marketing Priority","CUAPRound","CUAPRound: Due Date","Compulsory Courses","Approval Status","Dom - Full Prog_2026","Int -  Full Prog_2026"
"CertCJ","Certificate of Criminal Justice","Law","/sites/w-TuihonoUC/SitePages/Criminal-Justice.aspx","Programme","Undergraduate","Delivering/BAU","60","Accredited","Gathering leads","Jayson Ware","2023C4","True","https://curriculum.canterbury.ac.nz/cms/design/program/146/view","2025C2","0",,,"CRJU101,MAOR108,PHIL139,CRJU120","[""Fully approved""]","$4,012.00","$17,050.00"
"L2501","Employment Law Essentials","Law",,"Non-Credited Course","N/A","Delivering/BAU","0","Not required","Gathering leads",,"2026C1A","False",,,"0",,,"[]",,,
"A2404","Cultural Competence for Work","Arts",,"Non-Credited Course","N/A","Delivering/BAU","0","Not required","Gathering leads",,"2026C1A","False",,,"0",,,"[]",,,
"BSLA405","Effective Interventions in BSLA Structured Literacy","Education","/sites/w-TuihonoUC/SitePages/BSLA.aspx","Credited Short Course","Postgraduate","Delivering/BAU","30","Accredited","Need brief",,"2025C4","False","https://curriculum.canterbury.ac.nz/cms/design/course/11406/view",,"0",,,"[]","[""Faculty approved"",""Has academic approval""]",,
"MPM","Master of Project Management","Engineering","/sites/w-TuihonoUC/SitePages/Project-Management.aspx","Programme","Postgraduate","Delivering/BAU","180","Accredited","Gathering leads","Lulu Barry","2025C4","True","https://curriculum.canterbury.ac.nz/cms/design/program/9535/view","2028C1","0",,,"[]","[""Fully approved""]","$16,128.00","$56,850.00"
"MOrgPsyc","Master of Organisational Psychology","Science","/sites/w-TuihonoUC/SitePages/Organisational-Psychology.aspx","Programme","Postgraduate","Delivering/BAU","180","Accredited","Gathering leads","Eri Koh","2023C4","True","https://curriculum.canterbury.ac.nz/cms/design/program/374/view","2026C1","0",,,"[]","[""Fully approved""]","$14,964.00","$67,950.00"
"PGCertOrgPsyc","Postgraduate Certificate in Organisational Psychology","Science","/sites/w-TuihonoUC/SitePages/OrgPsyc.aspx","Programme","Postgraduate","Delivering/BAU","60","Accredited","Requirements changed","Eri Koh","2024C1","True","https://curriculum.canterbury.ac.nz/cms/design/program/429/view",,"0",,,"[]","[""Fully approved""]",,
"MADS","Master of Applied Data Science","Engineering","/sites/w-TuihonoUC/SitePages/Applied-Data-Science.aspx","Programme","Postgraduate","Delivering/BAU","180","Accredited","Gathering leads","Gabor Erdelyi","2024C1","True","https://curriculum.canterbury.ac.nz/cms/design/program/313/view","2026C2","0",,,"[]","[""Fully approved""]","$16,128.00","$56,850.00"
"PGDipADS","Postgraduate Diploma in Applied Data Science","Engineering","/sites/w-TuihonoUC/SitePages/Applied-Data-Science.aspx","Programme","Postgraduate","Delivering/BAU","120","Accredited","Gathering leads","Gabor Erdelyi","2024C1","True","https://curriculum.canterbury.ac.nz/cms/design/program/443/view","2026C1","0",,,"[]","[""Fully approved""]","$10,752.00","$37,900.00"
"MHealSc","Master of Health Sciences (Nursing)","Health","/sites/w-TuihonoUC/SitePages/Health-Science-(Nursing).aspx","Programme","Postgraduate","Delivering/BAU","240","Accredited","Gathering leads","Isabel Jamieson","2024S1","True","https://curriculum.canterbury.ac.nz/cms/design/program/360/view","2025C3","2",,,"[]","[""Fully approved""]","$19,952.00","$90,600.00"
"MAdvNurs","Master of Advanced Nursing (Practitioner)","Health","/sites/w-TuihonoUC/SitePages/Advanced-Nursing.aspx","Programme","Postgraduate","Delivering/BAU","240","Accredited","Gathering leads","Melissa Hanses","2025S1","True","https://curriculum.canterbury.ac.nz/cms/design/program/314/view",,"0",,,"[]","[""Fully approved""]","$19,952.00","$90,600.00"
"PGDipNurs","Postgraduate Diploma in Nursing","Health","/sites/w-TuihonoUC/SitePages/Advanced-Nursing.aspx","Programme","Postgraduate","Delivering/BAU","120","Accredited","Gathering leads","Melissa Hanses","2025S1","True","https://curriculum.canterbury.ac.nz/cms/design/program/476/view",,"0",,,"[]","[""Fully approved""]","$9,976.00","$45,300.00"
"MEM","Master of Engineering Management","Engineering","/sites/w-TuihonoUC/SitePages/Engineering-Management.aspx","Programme","Postgraduate","Delivering/BAU","180","Accredited","Gathering leads","Iram Mushtaq","2024C3","True","https://curriculum.canterbury.ac.nz/cms/design/program/9584/view","2026C4","0",,,"[]","[""Fully approved""]","$16,128.00","$56,850.00"
"PGDipEM","Postgraduate Diploma in Engineering Management","Engineering","/sites/w-TuihonoUC/SitePages/Engineering-Management.aspx","Programme","Postgraduate","Delivering/BAU","120","Accredited","Drafting","Iram Mushtaq","2024C3","True","https://curriculum.canterbury.ac.nz/cms/design/program/10525/view",,"0",,,"[]","[""Fully approved""]",,
"PGCertCEP","Postgraduate Certificate in Clinical Exercise Physiology","Health","/sites/w-TuihonoUC/SitePages/Clinical-Exercise-Physiology.aspx","Programme","Postgraduate","Delivering/BAU","60","Accredited","Gathering leads","Nick Draper","2025S2","True",,,"0",,,"[]","[""Fully approved""]","$4,988.00","$22,650.00"
"PGDipCEP","Postgraduate Diploma in Clinical Exercise Physiology","Health","/sites/w-TuihonoUC/SitePages/Clinical-Exercise-Physiology.aspx","Programme","Postgraduate","Delivering/BAU","120","Accredited","Gathering leads","Nick Draper","2025S2","True",,"2026S2","0",,,"[]","[""Fully approved""]","$9,976.00","$45,300.00"
