"UC Code","Faculty","Course Type","Course Status","Course Title","Points","Level","Accreditation","Course Coordinator","FLD Code","Programme(s)","CMS Entry","Course Outline","Elective","First Run","Dom Fees - 2026","Int Fees - 2026","SAC Funding"
"EDDE401","Education","Credited Short Course","Live","Learning Design Principles","10","8","Accredited",,"E2204","[]","https://curriculum.canterbury.ac.nz/cms/design/course/10228/view","/:b:/r/sites/w-Educationonlinequals/Shared%20Documents/General/Course%20Outline/EDDE401%20Learning%20Design%20Principles%20Course%20Outline.pdf?csf=1&web=1&e=U5bkvZ","[]","2022C4","$766.00","$3,183.00","False"
"SCOL201","Science","Credited Short Course","Live","Nutrition and Wellbeing","5","6","Special Topic","Julia Rucklidge","S2202","[]","https://curriculum.canterbury.ac.nz/cms/design/course/8305/view","/:b:/r/sites/w-Scienceonlinequals/Shared%20Documents/General/Course%20Outline/S2202%20Nutrition%20and%20Wellbeing%20Course%20Outline.pdf?csf=1&web=1&e=E2VLi0","[]","2022C4","$316.00","$1,421.00","True"
"SOWK212","Health","Distance","Live","Family Violence","15","6","Accredited",,"H2414","[]","https://curriculum.canterbury.ac.nz/cms/design/course/8488/view",,"[]",,,,"False"
"TRNS025","None","Non-Credited Course","Live","Academic Writing Basics","0","4","Not accredited",,"X2203","[]",,"/:b:/r/sites/w-Shortcoursedevt/Shared%20Documents/General/Course%20Outline/X2203%20Academic%20Writing%20Basics%20Course%20Outline.pdf?csf=1&web=1&e=xDTpqe","[]","2022C4","$129.00","$267.00","False"
"EDDE404","Education","Credited Short Course","Live","Mentoring Teachers","5","8","Accredited",,"E2201","[]","https://curriculum.canterbury.ac.nz/cms/design/course/10226/view","/:b:/r/sites/w-Educationonlinequals/Shared%20Documents/General/Course%20Outline/EDDE404%20Mentoring%20Teachers%20-%20Course%20Information.pdf?csf=1&web=1&e=raOGnw","[]","2023C1","$383.00","$1,592.00","False"
,"None","Credited Short Course","Live","Project Management Fundamentals (WK)","2.5","5",,,"B2202","[]",,"/:b:/r/sites/w-Shortcoursedevt/Shared%20Documents/General/Course%20Outline/Project%20Management%20Fundamentals%20-%20Course%20information.pdf?csf=1&web=1&e=3sAYvf","[]","2023C1",,,"False"
"CRJU101","Law","Degree Course","Live","Introduction to Criminal Justice","15","5","Accredited","Jayson Ware","L2301","CertCJ","https://curriculum.canterbury.ac.nz/cms/design/course/2027/view","/:b:/r/sites/w-Lawonlinequals/Shared%20Documents/General/Course%20Outline/CRJU101%20Introduction%20to%20Criminal%20Justice%20-%20Course%20Information.pdf?csf=1&web=1&e=JDpIcY","[]","2023C4","$948.00","$4,263.00","False"
"SCOL101","Health","Credited Short Course","Live","GIS for Mapping","5","5","Special Topic","Matt Hobbs","H2301","[]","https://curriculum.canterbury.ac.nz/cms/design/course/8304/view","/:b:/r/sites/MHealthSciNursing/Shared%20Documents/General/Course%20Outline/SCOL101%20GIS%20for%20Mapping%20Course%20Information.pdf?csf=1&web=1&e=eHJZOE","[]","2023C2","$316.00","$1,421.00","True"
"SCOL202","Science","Credited Short Course","Live","Psychology of Wellbeing","5","6","Special Topic",,"S2203","[]","https://curriculum.canterbury.ac.nz/cms/design/course/8306/view","/:b:/r/sites/w-Scienceonlinequals/Shared%20Documents/General/Course%20Outline/Psychology-of-Wellbeing-Course-Information.pdf?csf=1&web=1&e=wcpHs7","[]","2023C2","$316.00","$1,421.00","True"
"TRNS030","Arts","Non-Credited Course","Live","Ngā Herenga","0","5","Not accredited",,"A2304","[]","https://curriculum.canterbury.ac.nz/cms/design/course/9241/view","/:b:/r/sites/w-AAI/Shared%20Documents/General/Course%20Outline/TRNS030%20Ngā%20Herenga%20Course%20Outline.pdf?csf=1&web=1&e=Vszzj7","[]","2023C3","$295.00","$627.00","False"
